timestamp,order_id,pack_date,ship_date,ship_method,number_of_items,box_size,defect_reported
2025-05-31 22:00:00,07b6e728-c087-4272-a50b-bd09446c402c,2025-06-01 08:00:00,2025-06-02 05:00:00,ups,4,A,
2025-05-31 23:00:00,3585fe73-a4fc-4be2-beb4-bdf15a1a6daf,2025-06-01 08:00:00,2025-06-01 21:00:00,usps,1,B,
2025-06-01 04:00:00,f563aa2e-221d-43b9-bd71-27e239aabc77,2025-06-01 08:00:00,2025-06-01 18:00:00,usps,3,A,
2025-05-31 22:00:00,03bf4431-a702-413e-8102-d8d2769bad13,2025-06-01 08:00:00,2025-06-02 07:00:00,dhl,3,C,
2025-06-01 04:00:00,cb5fc7f8-9aa0-46ba-a2f1-dee6f13655e6,2025-06-01 08:00:00,2025-06-02 07:00:00,fedex,3,C,
2025-05-31 18:00:00,fc7e09fb-cb80-45f8-b241-3213e666373d,2025-06-01 08:00:00,2025-06-02 06:00:00,ups,3,A,
2025-05-31 16:00:00,0cba0463-629f-4486-ae60-996ab3c9dc10,2025-06-01 08:00:00,2025-06-01 23:00:00,ups,5,B,
2025-06-01 01:00:00,990623e3-19b5-4080-b1b8-3165db8dc424,2025-06-01 09:00:00,2025-06-01 19:00:00,ups,3,B,
2025-05-31 23:00:00,892443f5-bbc8-4b64-8b80-9c260720a782,2025-06-01 09:00:00,2025-06-02 05:00:00,fedex,3,A,
2025-06-01 00:00:00,e7974d91-d59a-495d-9611-21452f818b75,2025-06-01 09:00:00,2025-06-02 03:00:00,fedex,1,C,
2025-05-31 19:00:00,0b99d8cf-6654-4a9a-88b6-aeb9807e3e8f,2025-06-01 09:00:00,2025-06-01 17:00:00,fedex,2,B,poorly packed
2025-05-31 21:00:00,6e8ecf20-1903-492a-9b6e-4982a94d47d7,2025-06-01 10:00:00,2025-06-01 17:00:00,ups,5,B,
2025-05-31 20:00:00,e3598988-2445-4995-99c6-291548e13afc,2025-06-01 10:00:00,2025-06-02 05:00:00,ups,4,B,
2025-06-01 02:00:00,1dc97d39-e406-4ec9-b492-498f71d43c9b,2025-06-01 10:00:00,2025-06-01 20:00:00,fedex,5,A,
2025-06-01 11:00:00,a66fd1af-04b0-435d-8367-4cabf7d3f302,2025-06-01 12:00:00,2025-06-02 05:00:00,fedex,2,B,
2025-05-31 17:00:00,8dc5e6db-bab1-479a-8629-efff26cb8782,2025-06-01 12:00:00,2025-06-02 02:00:00,usps,5,C,
2025-05-31 18:00:00,c1a5d565-1c2d-4b62-8e6c-3ff14f002fa9,2025-06-01 13:00:00,2025-06-02 11:00:00,usps,3,C,
2025-06-01 06:00:00,f4a6c285-c96a-4f86-9026-b59cc26e553c,2025-06-01 13:00:00,2025-06-01 22:00:00,ups,5,A,
2025-06-01 05:00:00,179bbbe4-3367-4446-a353-cfc89b9b88b6,2025-06-01 13:00:00,2025-06-02 10:00:00,dhl,5,A,
2025-05-31 21:00:00,1056f4ac-4337-4f7b-9df5-74c3aa7cf071,2025-06-01 13:00:00,2025-06-02 06:00:00,usps,3,B,
2025-06-01 11:00:00,2dad1388-0e10-44b3-9921-decf4224d0d8,2025-06-01 13:00:00,2025-06-02 09:00:00,dhl,5,B,
2025-05-31 17:00:00,753ff17b-b49b-49fb-b7a2-25ede22bb33d,2025-06-01 13:00:00,2025-06-01 20:00:00,usps,5,B,
2025-06-01 11:00:00,1d5325e4-016f-4748-a5ee-611926f2d8cb,2025-06-01 13:00:00,2025-06-01 19:00:00,usps,4,A,
2025-06-01 09:00:00,3186b5f8-c14d-45a5-a5fa-31ac522b9a1f,2025-06-01 13:00:00,2025-06-02 09:00:00,dhl,2,B,
2025-06-01 02:00:00,c71e550a-8399-4a60-90c9-5eaec8fa8a46,2025-06-01 13:00:00,2025-06-02 01:00:00,ups,2,C,
2025-05-31 22:00:00,156a7c2a-cb13-4ed6-b3fb-13a50b37f4ae,2025-06-01 13:00:00,2025-06-02 11:00:00,ups,4,B,
2025-05-31 21:00:00,e69443ad-b699-459e-b059-9cdd09f63408,2025-06-01 14:00:00,2025-06-02 12:00:00,fedex,5,B,
2025-06-01 08:00:00,cbeb05ee-868a-4a8d-b7a8-a192f276e27d,2025-06-01 14:00:00,2025-06-02 00:00:00,fedex,1,A,
2025-05-31 21:00:00,3daa2e96-96a9-4dcb-9f13-9dcc7f4c4b22,2025-06-01 15:00:00,2025-06-02 11:00:00,ups,5,C,
2025-06-01 13:00:00,d2843110-addf-4344-84c6-07995ef57c62,2025-06-01 15:00:00,2025-06-02 03:00:00,dhl,3,A,missing items
2025-06-01 01:00:00,5a4d823c-7c9b-425e-ac97-d5221f11f79f,2025-06-01 15:00:00,2025-06-02 05:00:00,ups,4,C,
2025-05-31 18:00:00,550f5268-040e-435e-bccb-cc8f6d6b01a8,2025-06-01 15:00:00,2025-06-01 22:00:00,fedex,2,C,
2025-06-01 06:00:00,284f07db-f568-4f61-9c71-513512208e7e,2025-06-01 15:00:00,2025-06-02 04:00:00,usps,1,A,wrong items
2025-05-31 16:00:00,a4d55f5f-e24c-45c5-9989-d3661435a948,2025-06-01 15:00:00,2025-06-02 00:00:00,fedex,5,A,wrong items
2025-06-01 11:00:00,f63d7606-8e4f-46fc-b175-0e1d8e3fdb8e,2025-06-01 16:00:00,2025-06-01 22:00:00,ups,4,A,
2025-05-31 23:00:00,c873875a-61d2-4270-93b1-692058aa973f,2025-06-01 16:00:00,2025-06-02 04:00:00,usps,1,A,
2025-06-02 02:00:00,a138c02f-6d40-499e-90ad-c23c0fc24909,2025-06-02 08:00:00,2025-06-03 07:00:00,fedex,2,B,
2025-06-02 07:00:00,b68d46f3-ef11-4231-9c03-ae19f94fc56f,2025-06-02 08:00:00,2025-06-02 20:00:00,fedex,5,A,
2025-06-01 18:00:00,663c1648-1cec-43b7-a9d0-b66ef9002122,2025-06-02 08:00:00,2025-06-02 20:00:00,dhl,2,C,
2025-06-02 04:00:00,93a53eb5-4678-4f15-948d-dd52759580d3,2025-06-02 09:00:00,2025-06-03 04:00:00,fedex,2,C,poorly packed
2025-06-01 15:00:00,d643afe6-3ed3-4264-ac43-12e3b04cbb5a,2025-06-02 09:00:00,2025-06-02 19:00:00,dhl,4,B,
