"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-01",,"67","53"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-02",,"60","55"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-03",,"62","52"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-04",,"66","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-05",,"68","52"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-06",,"70","47"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-07",,"75","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-08",,"80","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-09",,"74","53"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-10",,"73","53"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-11",,"69","53"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-12",,"67","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-13",,"72","47"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-14",,"65","50"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-15",,"63","50"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-16",,"67","49"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-17",,"62","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-18",,"71","52"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-19",,"75","51"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-20",,"78","52"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-21",,"85","54"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-22",,"75","57"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2025-06-23",,"70","56"
