"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-01",,"83","61",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-02",,"87","63",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-03",,"85","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-04",,"88","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-05",,"81","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-06",,"71","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-07",,"82","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-08",,"85","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-09",,"87","62",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-10",,"80","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-11",,"73","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-12",,"74","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-13",,"73","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-14",,"81","63",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-15",,"78","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-16",,"77","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-17",,"79","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-18",,"80","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-19",,"79","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-20",,"71","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-21",,"71","59",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-22",,"73","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-23",,"62","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-24",,"62","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-25",,"76","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-26",,"71","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-27",,"70","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-28",,"70","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-29",,"78","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-30",,"82","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-08-31",,"83","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-01",,"85","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-02",,"71","61",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-03",,"75","59",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-04",,"80","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-05",,"89","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-06",,"87","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-07",,"80","62",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-08",,"76","59",
